0,0,1610,100
1,0,1100,500
2,0,590,30
2,30,590,30
2,60,590,30
2,90,590,30
0,100,1610,100
2,120,590,30
2,150,590,30
2,180,590,30
0,200,1610,100
2,210,590,30
2,240,590,30
2,270,590,30
2,300,590,30
0,300,1610,100
2,330,590,30
2,360,590,30
2,390,590,30
0,400,1610,100
2,420,590,30
2,450,590,30
2,480,590,30
0,500,1610,100
1,500,1100,500
2,510,590,30
2,540,590,30
2,570,590,30
0,600,1610,100
0,700,1610,100
0,800,1610,100
0,900,1610,100
0,1000,1610,100
1,1000,1100,500
0,1100,1610,100
0,1200,1610,100
0,1300,1610,100
0,1400,1610,100
0,1500,1610,100
0,1600,1610,100
